number,name,type,lv,hp,dp,pow,circle,triangle,x,special_effect,effect,img
269,攻撃プラグイン✖,CardType.OPTION,,,,,,,,,"自分の<img src=""x.png"" alt=""x"">攻撃力は2倍になる","<img src=""~/img/card/card_攻撃プラグイン✖.png"" alt=""攻撃プラグイン✖"">"
270,防御プラグイン〇,CardType.OPTION,,,,,,,,,"相手の<img src=""circle.png"" alt=""circle"">攻撃力を0にする","<img src=""~/img/card/card_防御プラグイン〇.png"" alt=""防御プラグイン〇"">"
271,防御プラグイン△,CardType.OPTION,,,,,,,,,"相手の<img src=""triangle.png"" alt=""triangle"">攻撃力を0にする","<img src=""~/img/card/card_防御プラグイン△.png"" alt=""防御プラグイン△"">"
272,防御プラグイン✖,CardType.OPTION,,,,,,,,,"相手の<img src=""x.png"" alt=""x"">攻撃力を0にする","<img src=""~/img/card/card_防御プラグイン✖.png"" alt=""防御プラグイン✖"">"
273,デジガーネット,CardType.OPTION,,,,,,,,,自分の攻撃力+100,"<img src=""~/img/card/card_デジガーネット.png"" alt=""デジガーネット"">"
274,デジアメジスト,CardType.OPTION,,,,,,,,,自分のＨＰを100回復,"<img src=""~/img/card/card_デジアメジスト.png"" alt=""デジアメジスト"">"
275,デジアクアマリン,CardType.OPTION,,,,,,,,,戦闘で死んだとき、ＨＰ100で復活する（勝負は負け）,"<img src=""~/img/card/card_デジアクアマリン.png"" alt=""デジアクアマリン"">"
276,デジダイヤモンド,CardType.OPTION,,,,,,,,,山札から2枚引く,"<img src=""~/img/card/card_デジダイヤモンド.png"" alt=""デジダイヤモンド"">"
277,デジエメラルド,CardType.OPTION,,,,,,,,,自分の属性は,"<img src=""~/img/card/card_デジエメラルド.png"" alt=""デジエメラルド"">"
278,デジパール,CardType.OPTION,,,,,,,,,自分の属性は,"<img src=""~/img/card/card_デジパール.png"" alt=""デジパール"">"
279,デジルビー,CardType.OPTION,,,,,,,,,自分の属性は,"<img src=""~/img/card/card_デジルビー.png"" alt=""デジルビー"">"
280,デジサードニクス,CardType.OPTION,,,,,,,,,自分の属性は,"<img src=""~/img/card/card_デジサードニクス.png"" alt=""デジサードニクス"">"
281,デジサファイア,CardType.OPTION,,,,,,,,,自分の属性は,"<img src=""~/img/card/card_デジサファイア.png"" alt=""デジサファイア"">"
282,デジオパール,CardType.OPTION,,,,,,,,,"自分のボタンは<img src=""circle.png"" alt=""circle"">になる","<img src=""~/img/card/card_デジオパール.png"" alt=""デジオパール"">"
283,デジトパーズ,CardType.OPTION,,,,,,,,,"自分のボタンは<img src=""triangle.png"" alt=""triangle"">になる","<img src=""~/img/card/card_デジトパーズ.png"" alt=""デジトパーズ"">"
284,デジターコイズ,CardType.OPTION,,,,,,,,,"自分のボタンは<img src=""x.png"" alt=""x"">になる","<img src=""~/img/card/card_デジターコイズ.png"" alt=""デジターコイズ"">"
285,ワイルドセブンズ,CardType.OPTION,,,,,,,,,自分の攻撃力は3倍になる,"<img src=""~/img/card/card_ワイルドセブンズ.png"" alt=""ワイルドセブンズ"">"
286,ホーリーセブンズ,CardType.OPTION,,,,,,,,,ＨＰを1000回復,"<img src=""~/img/card/card_ホーリーセブンズ.png"" alt=""ホーリーセブンズ"">"
287,ダークセブンズ,CardType.OPTION,,,,,,,,,自分より相手のＨＰが少ないなら、相手のＨＰは10になる,"<img src=""~/img/card/card_ダークセブンズ.png"" alt=""ダークセブンズ"">"
288,グランドセブンズ,CardType.OPTION,,,,,,,,,自分の攻撃力は、自分のＨＰの数を足した数になる,"<img src=""~/img/card/card_グランドセブンズ.png"" alt=""グランドセブンズ"">"
289,ミスティセブンズ,CardType.OPTION,,,,,,,,,相手の援護・オプションを無効化し、相手の攻撃力は0になる,"<img src=""~/img/card/card_ミスティセブンズ.png"" alt=""ミスティセブンズ"">"
290,スピードセブンズ,CardType.OPTION,,,,,,,,,自分の攻撃は「先制」で「すいとる」になり、攻撃力+200,"<img src=""~/img/card/card_スピードセブンズ.png"" alt=""スピードセブンズ"">"
291,リバースセブンズ,CardType.OPTION,,,,,,,,,自分の捨て場の上から10枚を山札にもどしてシャッフルする,"<img src=""~/img/card/card_リバースセブンズ.png"" alt=""リバースセブンズ"">"
292,ロゼモンの誘惑,CardType.OPTION,,,,,,,,,相手の手札とＰＯＷカードを全て捨てる,"<img src=""~/img/card/card_ロゼモンの誘惑.png"" alt=""ロゼモンの誘惑"">"
293,ダウンローダー,CardType.OPTION,,,,,,,,,属性、進化Ｐ、世代を無視して進化してよい,"<img src=""~/img/card/card_ダウンローダー.png"" alt=""ダウンローダー"">"
294,アーマー突破,CardType.OPTION,,,,,,,,,レベルＡのデジモンをレベルⅣまたはレベル完に進化させる（ＰＯＷは必要）,"<img src=""~/img/card/card_アーマー突破.png"" alt=""アーマー突破"">"
295,特殊進化,CardType.OPTION,,,,,,,,,一時的にＰＯＷを+20して、属性を無視した進化が出来る,"<img src=""~/img/card/card_特殊進化.png"" alt=""特殊進化"">"
296,突然変異,CardType.OPTION,,,,,,,,,同世代のデジモンに進化出来る（ＰＯＷは必要）（属性は無視）,"<img src=""~/img/card/card_突然変異.png"" alt=""突然変異"">"
297,ワープ進化,CardType.OPTION,,,,,,,,,レベルⅢからレベル完へ進化してよい（ＰＯＷは必要）,"<img src=""~/img/card/card_ワープ進化.png"" alt=""ワープ進化"">"
298,アーマー解除,CardType.OPTION,,,,,,,,,レベルＡのデジモンをレベルⅢに戻す,"<img src=""~/img/card/card_アーマー解除.png"" alt=""アーマー解除"">"
299,スピード進化,CardType.OPTION,,,,,,,,,必要進化Ｐを無視してよい（異常状態は不可）,"<img src=""~/img/card/card_スピード進化.png"" alt=""スピード進化"">"
300,退化,CardType.OPTION,,,,,,,,,進化を1段階もどしてよい。成功時はＨＰは2倍になる,"<img src=""~/img/card/card_退化.png"" alt=""退化"">"
